,week,year,month,day,item_BC,item_CB,item_CR,item_RD,item_TG,corporation_A,corporation_B,corporation_C,corporation_D,corporation_E,corporation_F,location_J,location_S,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,price(원/kg)
20,4,2019,1,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2144.0
21,4,2019,1,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2067.0
22,4,2019,1,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2149.0
23,4,2019,1,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2148.0
24,4,2019,1,25,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2513.0
25,4,2019,1,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2629.0
26,4,2019,1,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
27,5,2019,1,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2932.0
28,5,2019,1,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2472.0
29,5,2019,1,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2377.0
30,5,2019,1,31,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2278.0
31,5,2019,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2349.0
32,5,2019,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2286.0
33,5,2019,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
34,6,2019,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1831.0
35,6,2019,2,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
36,6,2019,2,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
37,6,2019,2,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
38,6,2019,2,8,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
39,6,2019,2,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2795.0
40,6,2019,2,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
41,7,2019,2,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2612.0
42,7,2019,2,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1979.0
43,7,2019,2,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2022.0
44,7,2019,2,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2323.0
45,7,2019,2,15,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2522.0
46,7,2019,2,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1888.0
47,7,2019,2,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
48,8,2019,2,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2089.0
49,8,2019,2,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1581.0
50,8,2019,2,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2516.0
51,8,2019,2,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3730.0
52,8,2019,2,22,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3648.0
53,8,2019,2,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2310.0
54,8,2019,2,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
55,9,2019,2,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2998.0
56,9,2019,2,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2249.0
57,9,2019,2,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1672.0
58,9,2019,2,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3841.0
59,9,2019,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4307.0
60,9,2019,3,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4538.0
61,9,2019,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
62,10,2019,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3992.0
63,10,2019,3,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4055.0
64,10,2019,3,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4278.0
65,10,2019,3,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4165.0
66,10,2019,3,8,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3690.0
67,10,2019,3,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4838.0
68,10,2019,3,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
69,11,2019,3,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4217.0
70,11,2019,3,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3904.0
71,11,2019,3,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3686.0
72,11,2019,3,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3552.0
73,11,2019,3,15,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3573.0
74,11,2019,3,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3541.0
75,11,2019,3,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
76,12,2019,3,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3530.0
77,12,2019,3,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3372.0
78,12,2019,3,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3609.0
79,12,2019,3,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3961.0
80,12,2019,3,22,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4768.0
81,12,2019,3,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5408.0
82,12,2019,3,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
83,13,2019,3,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5265.0
84,13,2019,3,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3443.0
85,13,2019,3,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3650.0
86,13,2019,3,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6215.0
87,13,2019,3,29,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
88,13,2019,3,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4774.0
89,13,2019,3,31,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
90,14,2019,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8733.0
91,14,2019,4,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3876.0
92,14,2019,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2533.0
93,14,2019,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
94,14,2019,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
95,14,2019,4,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
96,14,2019,4,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
97,15,2019,4,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
98,15,2019,4,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
99,15,2019,4,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
100,15,2019,4,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6667.0
101,15,2019,4,12,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5312.0
102,15,2019,4,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6667.0
103,15,2019,4,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
104,16,2019,4,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
105,16,2019,4,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
106,16,2019,4,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
107,16,2019,4,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
108,16,2019,4,19,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2917.0
109,16,2019,4,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
110,16,2019,4,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
111,17,2019,4,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4619.0
112,17,2019,4,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3926.0
113,17,2019,4,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2525.0
114,17,2019,4,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
115,17,2019,4,26,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
116,17,2019,4,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
117,17,2019,4,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
118,18,2019,4,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
119,18,2019,4,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
120,18,2019,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3837.0
121,18,2019,5,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
122,18,2019,5,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
123,18,2019,5,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
124,18,2019,5,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
125,19,2019,5,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3932.0
126,19,2019,5,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
127,19,2019,5,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
128,19,2019,5,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8841.0
129,19,2019,5,10,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5662.0
130,19,2019,5,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5181.0
131,19,2019,5,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
132,20,2019,5,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
133,20,2019,5,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6300.0
134,20,2019,5,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8587.0
135,20,2019,5,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
136,20,2019,5,17,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8809.0
137,20,2019,5,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
138,20,2019,5,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
139,21,2019,5,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
140,21,2019,5,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
141,21,2019,5,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
142,21,2019,5,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
143,21,2019,5,24,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
144,21,2019,5,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
145,21,2019,5,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
146,22,2019,5,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
147,22,2019,5,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
148,22,2019,5,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
149,22,2019,5,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
150,22,2019,5,31,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
151,22,2019,6,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7479.0
152,22,2019,6,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
153,23,2019,6,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6953.0
154,23,2019,6,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
155,23,2019,6,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
156,23,2019,6,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
157,23,2019,6,7,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
158,23,2019,6,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
159,23,2019,6,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
160,24,2019,6,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
161,24,2019,6,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
162,24,2019,6,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
163,24,2019,6,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
164,24,2019,6,14,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
165,24,2019,6,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
166,24,2019,6,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
167,25,2019,6,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
168,25,2019,6,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
169,25,2019,6,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
170,25,2019,6,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
171,25,2019,6,21,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6292.0
172,25,2019,6,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
173,25,2019,6,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
174,26,2019,6,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
175,26,2019,6,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
176,26,2019,6,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
177,26,2019,6,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5580.0
178,26,2019,6,28,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
179,26,2019,6,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
180,26,2019,6,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
181,27,2019,7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
182,27,2019,7,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
183,27,2019,7,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
184,27,2019,7,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
185,27,2019,7,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
186,27,2019,7,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5261.0
187,27,2019,7,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
188,28,2019,7,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5424.0
189,28,2019,7,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
190,28,2019,7,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
191,28,2019,7,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
192,28,2019,7,12,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
193,28,2019,7,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
194,28,2019,7,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
195,29,2019,7,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
196,29,2019,7,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
197,29,2019,7,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4735.0
198,29,2019,7,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4133.0
199,29,2019,7,19,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
200,29,2019,7,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
201,29,2019,7,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
202,30,2019,7,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6163.0
203,30,2019,7,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5745.0
204,30,2019,7,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
205,30,2019,7,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
206,30,2019,7,26,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
207,30,2019,7,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5897.0
208,30,2019,7,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
209,31,2019,7,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
210,31,2019,7,30,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
211,31,2019,7,31,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
212,31,2019,8,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
213,31,2019,8,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4885.0
214,31,2019,8,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
215,31,2019,8,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
216,32,2019,8,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4667.0
217,32,2019,8,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
218,32,2019,8,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
219,32,2019,8,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5672.0
220,32,2019,8,9,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
221,32,2019,8,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2468.0
222,32,2019,8,11,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
223,33,2019,8,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
224,33,2019,8,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4824.0
225,33,2019,8,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
226,33,2019,8,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3934.0
227,33,2019,8,16,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
228,33,2019,8,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
229,33,2019,8,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
230,34,2019,8,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
231,34,2019,8,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
232,34,2019,8,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
233,34,2019,8,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
234,34,2019,8,23,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
235,34,2019,8,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
236,34,2019,8,25,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
237,35,2019,8,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
238,35,2019,8,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
239,35,2019,8,28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3391.0
240,35,2019,8,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
241,35,2019,8,30,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4438.0
242,35,2019,8,31,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4319.0
243,35,2019,9,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
244,36,2019,9,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5728.0
245,36,2019,9,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2652.0
246,36,2019,9,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5545.0
